==========================================================================================
MULTI-TIMEFRAME RESEARCH RESULTS - KuCoin Spot
Test Period: 90 days | Pairs: 36 | Max Hold: 72 bars
Generated: 2026-04-22 12:38:07
==========================================================================================

------------------------------------------------------------------------------------------
PER-PAIR RESULTS
------------------------------------------------------------------------------------------

BTC/USDT:
  C/stop_2 tp_5: count=13, WR=0.0%, Exp=0.394, AvgHold=42.7bars, TP%=0.0%
  C/stop_2 tp_5_wBias: count=13, WR=0.0%, Exp=0.394, AvgHold=42.7bars, TP%=0.0%
  C/stop_2 tp_7: count=13, WR=0.0%, Exp=0.394, AvgHold=42.7bars, TP%=0.0%
  C/stop_2 tp_7_wBias: count=13, WR=0.0%, Exp=0.394, AvgHold=42.7bars, TP%=0.0%
  C/stop_atr tp_3: count=13, WR=69.2%, Exp=1.684, AvgHold=31.3bars, TP%=69.2%
  C/stop_atr tp_3_wBias: count=13, WR=69.2%, Exp=1.684, AvgHold=31.3bars, TP%=69.2%
  C/stop_atr tp_5: count=13, WR=0.0%, Exp=0.821, AvgHold=39.8bars, TP%=0.0%
  C/stop_atr tp_5_wBias: count=13, WR=0.0%, Exp=0.821, AvgHold=39.8bars, TP%=0.0%
  C/stop_atr tp_7: count=13, WR=0.0%, Exp=0.821, AvgHold=39.8bars, TP%=0.0%
  C/stop_atr tp_7_wBias: count=13, WR=0.0%, Exp=0.821, AvgHold=39.8bars, TP%=0.0%
  D/stop_2 tp_3: count=6, WR=16.7%, Exp=-1.167, AvgHold=12.0bars, TP%=16.7%
  D/stop_2 tp_3_wBias: count=6, WR=16.7%, Exp=-1.167, AvgHold=12.0bars, TP%=16.7%
  D/stop_2 tp_5: count=6, WR=0.0%, Exp=-1.097, AvgHold=19.3bars, TP%=0.0%
  D/stop_2 tp_5_wBias: count=6, WR=0.0%, Exp=-1.097, AvgHold=19.3bars, TP%=0.0%
  D/stop_2 tp_7: count=6, WR=0.0%, Exp=-1.097, AvgHold=19.3bars, TP%=0.0%
  D/stop_2 tp_7_wBias: count=6, WR=0.0%, Exp=-1.097, AvgHold=19.3bars, TP%=0.0%
  D/stop_atr tp_3: count=6, WR=16.7%, Exp=-0.288, AvgHold=5.5bars, TP%=16.7%
  D/stop_atr tp_3_wBias: count=6, WR=16.7%, Exp=-0.288, AvgHold=5.5bars, TP%=16.7%
  D/stop_atr tp_5: count=6, WR=0.0%, Exp=-0.219, AvgHold=12.8bars, TP%=0.0%
  D/stop_atr tp_5_wBias: count=6, WR=0.0%, Exp=-0.219, AvgHold=12.8bars, TP%=0.0%
  D/stop_atr tp_7: count=6, WR=0.0%, Exp=-0.219, AvgHold=12.8bars, TP%=0.0%
  D/stop_atr tp_7_wBias: count=6, WR=0.0%, Exp=-0.219, AvgHold=12.8bars, TP%=0.0%

XRP/USDT:
  A/stop_2 tp_3: count=19, WR=31.6%, Exp=-0.421, AvgHold=16.4bars, TP%=31.6%
  A/stop_2 tp_3_wBias: count=19, WR=31.6%, Exp=-0.421, AvgHold=16.4bars, TP%=31.6%
  A/stop_2 tp_5: count=19, WR=10.5%, Exp=-0.487, AvgHold=27.0bars, TP%=10.5%
  A/stop_2 tp_5_wBias: count=19, WR=10.5%, Exp=-0.487, AvgHold=27.0bars, TP%=10.5%
  A/stop_2 tp_7: count=19, WR=0.0%, Exp=-0.965, AvgHold=29.3bars, TP%=0.0%
  A/stop_2 tp_7_wBias: count=19, WR=0.0%, Exp=-0.965, AvgHold=29.3bars, TP%=0.0%
  A/stop_atr tp_3: count=19, WR=31.6%, Exp=0.026, AvgHold=13.8bars, TP%=31.6%
  A/stop_atr tp_3_wBias: count=19, WR=31.6%, Exp=0.026, AvgHold=13.8bars, TP%=31.6%
  A/stop_atr tp_5: count=19, WR=10.5%, Exp=-0.261, AvgHold=20.4bars, TP%=10.5%
  A/stop_atr tp_5_wBias: count=19, WR=10.5%, Exp=-0.261, AvgHold=20.4bars, TP%=10.5%
  A/stop_atr tp_7: count=19, WR=0.0%, Exp=-0.699, AvgHold=22.6bars, TP%=0.0%
  A/stop_atr tp_7_wBias: count=19, WR=0.0%, Exp=-0.699, AvgHold=22.6bars, TP%=0.0%
  B/stop_2 tp_3: count=9, WR=22.2%, Exp=-0.889, AvgHold=17.7bars, TP%=22.2%
  B/stop_2 tp_3_wBias: count=9, WR=22.2%, Exp=-0.889, AvgHold=17.7bars, TP%=22.2%
  B/stop_2 tp_5: count=9, WR=11.1%, Exp=-1.222, AvgHold=18.1bars, TP%=11.1%
  B/stop_2 tp_5_wBias: count=9, WR=11.1%, Exp=-1.222, AvgHold=18.1bars, TP%=11.1%
  B/stop_2 tp_7: count=9, WR=11.1%, Exp=-1.0, AvgHold=18.1bars, TP%=11.1%
  B/stop_2 tp_7_wBias: count=9, WR=11.1%, Exp=-1.0, AvgHold=18.1bars, TP%=11.1%
  B/stop_atr tp_3: count=9, WR=11.1%, Exp=-0.906, AvgHold=14.7bars, TP%=11.1%
  B/stop_atr tp_3_wBias: count=9, WR=11.1%, Exp=-0.906, AvgHold=14.7bars, TP%=11.1%
