==========================================================================================
MULTI-TIMEFRAME RESEARCH RESULTS - KuCoin Spot
Test Period: 90 days | Pairs: 36 | Max Hold: 72 bars
Generated: 2026-04-24 09:48:21
==========================================================================================

------------------------------------------------------------------------------------------
PER-PAIR RESULTS
------------------------------------------------------------------------------------------

BTC/USDT:
  C/stop_2 tp_5_wBias: count=10, WR=0.0%, Exp=-2.0, AvgHold=30.6bars, TP%=0.0%
  C/stop_2 tp_7: count=10, WR=0.0%, Exp=-2.0, AvgHold=30.6bars, TP%=0.0%
  C/stop_2 tp_7_wBias: count=10, WR=0.0%, Exp=-2.0, AvgHold=30.6bars, TP%=0.0%
  C/stop_atr tp_3: count=10, WR=0.0%, Exp=-1.723, AvgHold=26.7bars, TP%=0.0%
  C/stop_atr tp_3_wBias: count=10, WR=0.0%, Exp=-1.723, AvgHold=26.7bars, TP%=0.0%
  C/stop_atr tp_5: count=10, WR=0.0%, Exp=-1.723, AvgHold=26.7bars, TP%=0.0%
  C/stop_atr tp_5_wBias: count=10, WR=0.0%, Exp=-1.723, AvgHold=26.7bars, TP%=0.0%
  C/stop_atr tp_7: count=10, WR=0.0%, Exp=-1.723, AvgHold=26.7bars, TP%=0.0%
  C/stop_atr tp_7_wBias: count=10, WR=0.0%, Exp=-1.723, AvgHold=26.7bars, TP%=0.0%
  D/stop_2 tp_3: count=3, WR=33.3%, Exp=-0.333, AvgHold=14.3bars, TP%=33.3%
  D/stop_2 tp_3_wBias: count=3, WR=33.3%, Exp=-0.333, AvgHold=14.3bars, TP%=33.3%
  D/stop_2 tp_5: count=3, WR=33.3%, Exp=0.333, AvgHold=15.3bars, TP%=33.3%
  D/stop_2 tp_5_wBias: count=3, WR=33.3%, Exp=0.333, AvgHold=15.3bars, TP%=33.3%
  D/stop_2 tp_7: count=3, WR=0.0%, Exp=-1.382, AvgHold=37.7bars, TP%=0.0%
  D/stop_2 tp_7_wBias: count=3, WR=0.0%, Exp=-1.382, AvgHold=37.7bars, TP%=0.0%
  D/stop_atr tp_3: count=3, WR=33.3%, Exp=-0.055, AvgHold=14.3bars, TP%=33.3%
  D/stop_atr tp_3_wBias: count=3, WR=33.3%, Exp=-0.055, AvgHold=14.3bars, TP%=33.3%
  D/stop_atr tp_5: count=3, WR=33.3%, Exp=0.612, AvgHold=15.3bars, TP%=33.3%
  D/stop_atr tp_5_wBias: count=3, WR=33.3%, Exp=0.612, AvgHold=15.3bars, TP%=33.3%
  D/stop_atr tp_7: count=3, WR=0.0%, Exp=-1.103, AvgHold=37.7bars, TP%=0.0%
  D/stop_atr tp_7_wBias: count=3, WR=0.0%, Exp=-1.103, AvgHold=37.7bars, TP%=0.0%
  E/stop_2 tp_3: count=49, WR=38.8%, Exp=-0.061, AvgHold=11.9bars, TP%=38.8%
  E/stop_2 tp_3_wBias: count=49, WR=38.8%, Exp=-0.061, AvgHold=11.9bars, TP%=38.8%
  E/stop_2 tp_5: count=49, WR=22.4%, Exp=-0.429, AvgHold=13.9bars, TP%=22.4%
